mtt,mu_pt,mu_abseta,weight,pileup
1849.4076,129.41429,0.49334717,1.0,28.0
2106.15,218.97136,0.12110901,1.0,13.0
1956.4269,119.10813,1.0549316,1.0,18.0
1998.5404,74.95146,1.0063477,1.0,15.0
1995.093,202.92438,0.6402588,1.0,21.0
1496.16,63.141823,0.7675781,1.0,17.0
2112.4424,91.83199,0.174469,1.0,15.0
1245.1725,77.50378,0.8145752,1.0,21.0
1908.8796,272.88773,0.67907715,1.0,17.0
2024.5148,56.67064,0.720459,1.0,20.0
1381.935,116.11373,2.3398438,1.0,36.0
2278.48,159.06723,0.41357422,1.0,31.0
2001.0499,90.79242,0.1579895,1.0,14.0
2244.7944,96.96197,1.0700684,1.0,13.0
1420.9225,240.18867,0.12753296,1.0,24.0
2218.558,112.08779,0.053474426,1.0,20.0
1924.7699,196.81831,1.3808594,1.0,17.0
1704.5542,179.23827,0.94055176,1.0,23.0
1359.0336,157.70126,0.5209961,1.0,16.0
1758.9999,146.15665,0.21636963,1.0,19.0
840.2584,138.47522,0.2206726,1.0,20.0
2371.3203,543.38074,1.1118164,1.0,13.0
1854.4181,119.89552,1.2272949,1.0,33.0
2011.7498,79.094055,0.13873291,1.0,18.0
2089.5444,125.01597,1.3447266,1.0,14.0
1545.5579,62.327515,1.4934082,1.0,26.0
2373.7368,238.75049,0.70544434,1.0,22.0
1124.4093,65.70727,0.9041748,1.0,27.0
2053.5208,191.67978,0.89941406,1.0,14.0
736.477,111.585014,0.0003424883,1.0,21.0
1124.2721,72.67478,0.6019287,1.0,25.0
1863.5487,85.4639,0.002494812,1.0,12.0
1858.4197,81.99237,1.2258301,1.0,8.0
1232.303,138.24442,0.40948486,1.0,24.0
1813.4832,137.14438,0.9942627,1.0,20.0
1924.6227,164.0859,1.322998,1.0,21.0
1675.2412,303.39255,0.22854614,1.0,12.0
2159.8152,279.50037,0.262146,1.0,13.0
358.42014,213.36595,0.12908936,1.0,10.0
2062.1719,302.4844,0.011629105,1.0,35.0
2284.9006,82.21173,0.8084717,1.0,19.0
2037.1956,317.23914,1.2832031,1.0,33.0
1770.9832,64.05699,1.2319336,1.0,23.0
1880.8079,145.79066,1.3769531,1.0,40.0
1839.1321,186.01694,0.5175781,1.0,27.0
1826.2871,182.5234,0.7093506,1.0,31.0
1706.3102,69.82025,0.96276855,1.0,21.0
2574.7937,511.54602,0.8121338,1.0,24.0
1871.3706,127.03309,0.42022705,1.0,30.0
2016.2625,185.73431,0.28546143,1.0,13.0
2030.9216,504.60165,0.631958,1.0,16.0
2475.1484,109.68583,0.11154175,1.0,32.0
1544.0116,65.697136,0.059913635,1.0,16.0
2820.9443,104.734,0.33966064,1.0,19.0
1605.0024,114.84152,0.5505371,1.0,40.0
2122.2307,456.35526,0.60095215,1.0,34.0
2233.3113,278.19812,0.28729248,1.0,18.0
2932.747,140.397,0.73083496,1.0,17.0
1451.162,56.921387,0.31817627,1.0,28.0
1990.8708,240.15398,0.97595215,1.0,35.0
1236.682,173.55336,1.4316406,1.0,28.0
1825.11,206.31407,1.0283203,1.0,21.0
2330.232,485.4634,0.28759766,1.0,20.0
901.6046,159.46306,0.25012207,1.0,30.0
1926.1145,114.52607,0.16259766,1.0,29.0
2210.184,115.89016,0.026737213,1.0,17.0
2494.3206,436.57556,0.24203491,1.0,29.0
1907.7158,100.261154,0.040725708,1.0,32.0
1158.6433,343.0311,0.4225464,1.0,14.0
1460.4087,150.13664,1.2897949,1.0,21.0
1544.9978,135.61827,0.98876953,1.0,16.0
1809.0874,239.4006,0.9466553,1.0,20.0
2354.345,335.69193,0.18112183,1.0,11.0
2081.5237,292.08536,1.2468262,1.0,18.0
1965.9633,69.63425,0.62023926,1.0,17.0
